Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
134595285,View All Booking History,@booking,3,28-Nov-16,3-Dec-16,feature,2,accepted,18-Nov-16,3-Dec-16,,KYLIM,The customers can view all the booking history where booking status is complete.,https://www.pivotaltracker.com/story/show/134595285,KYLIM,create database,completed,create ui,completed,retrieve all booking where booking status is complete,completed,display all booking in table form,completed,,,,,,,,,,,,,,,,,,
136127255,View All Bus Detail,@bus,3,28-Nov-16,3-Dec-16,feature,2,accepted,18-Nov-16,3-Dec-16,,John,This sub-module will allow the user to search the bus details by using the bus number plate.,https://www.pivotaltracker.com/story/show/136127255,John,create database,completed,create ui,completed,retrieve all bus,completed,display all bus in table form,completed,,,,,,,,,,,,,,,,,,
134596999,View All Bus Schedule,@busschedule,3,28-Nov-16,3-Dec-16,feature,2,accepted,18-Nov-16,3-Dec-16,,Lee Xing Yi,The staff can view all the bus schedule details with the sort function.,https://www.pivotaltracker.com/story/show/134596999,Lee Xing Yi,create database,completed,create ui,completed,retrieve all bus schedule,completed,display all bus schedule in table form,completed,,,,,,,,,,,,,,,,,,
134596161,View All Staff Details,@staff,3,28-Nov-16,3-Dec-16,feature,2,accepted,18-Nov-16,3-Dec-16,,Lim Zhen Ming,The manager can view all the staff information who work in the company.,https://www.pivotaltracker.com/story/show/134596161,Lim Zhen Ming,create database,completed,create ui,completed,retrieve all staff,completed,display all staff in table form,completed,,,,,,,,,,,,,,,,,,
134595763,Add New Staff,@staff,3,5-Dec-16,10-Dec-16,feature,2,started,18-Nov-16,,,Lim Zhen Ming,The manager can add the new staff into the database.,https://www.pivotaltracker.com/story/show/134595763,Lim Zhen Ming,create database,not completed,create ui,not completed,connect database and ui to add records,not completed,verify the data which is not duplicate such as staff IC number,not completed,add staff name,not completed,add staff ic,not completed,add staff email,not completed,add staff birthday,not completed,add staff contact number,not completed,,,,,,,,
136127049,Add New Bus,@bus,3,5-Dec-16,10-Dec-16,feature,2,started,18-Nov-16,,,John,This module will allow the user to add new bus information into the database.,https://www.pivotaltracker.com/story/show/136127049,John,create database,not completed,create ui,not completed,add bus plate number,not completed,add bus type,not completed,add bus status,not completed,add bus model,not completed,add bus total seat,not completed,add bus purchase date,not completed,,,,,,,,,,
134596519,Add New Bus Schedule ,@busschedule,3,5-Dec-16,10-Dec-16,feature,2,started,18-Nov-16,,,Lee Xing Yi,The staff can add the new bus schedule into the database.,https://www.pivotaltracker.com/story/show/134596519,Lee Xing Yi,create database,not completed,create ui,not completed,connect database and ui to add records,not completed,verify the departure place and location cannot be same,not completed,add schedule departure date,not completed,add schedule departure time,not completed,add schedule departure place,not completed, add destination,not completed,add schedule price,not completed,assign bus,not completed,,,,,,
136478867,Add New Booking,"@booking, @busschedule",3,5-Dec-16,10-Dec-16,feature,2,started,18-Nov-16,,,LIM KIAN WEI,The customers can make booking based on the bus schedule they selected.,https://www.pivotaltracker.com/story/show/136478867,,create database,not completed,create ui,not completed,connect database and ui to add records,not completed,retrieve schedule,not completed,add booking date,not completed,add quantity of seat,not completed,add seat number,not completed,,,,,,,,,,,,
134595453,Add New Payment,"@booking, @payment",3,5-Dec-16,10-Dec-16,feature,2,started,18-Nov-16,,,KYLIM,The customers can make payment once confirm the booking details. ,https://www.pivotaltracker.com/story/show/134595453,KYLIM,create database,not completed,create ui,not completed,retrieve booking details,not completed,create new payment and update to the database,not completed,verify the payment details which is entered by the customers,not completed,add payment date,not completed,add payment type,not completed,add payment amount,not completed,add card number,not completed,add card holder name,not completed,add card expiry date,not completed,add card type,not completed,add card bank,not completed
134595991,Update Staff,@staff,3,12-Dec-16,17-Dec-16,feature,2,unstarted,18-Nov-16,,,Lim Zhen Ming,"The manager can update the staff details such as address, hand phone number, email address, etc. ",https://www.pivotaltracker.com/story/show/134595991,Lim Zhen Ming,create database,not completed,create ui,not completed,retrieve staff,not completed,connect database and ui to update records,not completed,update email,not completed,update contact number,not completed,,,,,,,,,,,,,,
